store_id,sensitivity,avg_mth_sale,competitive_intensity
1,1001970.517,855702.9735,0.364106404
2,472947.8143,700714.3287,0.764668627
3,758698.0307,537620.1015,0.859991373
4,-115511.6544,281361.5649,0.963689478
5,475561.1704,554298.7571,0.515609331
6,658166.9345,838320.7334,0.684304262
7,-185428.2595,381666.8943,0.996733
8,499466.5093,143619.3531,0.955718184
9,407132.3997,675784.1353,0.467136998
10,1047127.917,448603.3445,0.765315385
11,619968.8223,624659.9017,0.977130527
12,1050348.89,599400.9696,0.959736238
13,238642.8398,566691.1945,0.822295881
14,607327.4388,904289.2396,0.976392504
15,-670.0432587,796814.5629,0.998551453
16,918049.29,882028.3802,0.970728978
17,331276.1803,719495.0833,0.973173359
18,961251.8234,630515.5764,0.989248296
19,104558.951,741904.957,0.97551929
20,175777.0073,904564.2125,0.996078089
21,549248.2928,915194.4717,0.871805018
22,201718.6087,874191.8371,0.999124568
23,1166189.014,492602.8159,0.993783907
24,-76865.0794,107850.4735,0.610619246
25,765868.6693,718143.2921,0.745281886
26,521801.805,283541.5162,0.804299395
27,363839.083,655607.2597,0.728391251
28,722832.9699,445554.1752,0.999495159
29,196275.0948,876247.2009,0.991294387
30,534556.7646,755211.1899,0.895877187
31,260888.9694,342785.3946,0.898401984
32,584381.3041,813795.2036,0.953708539
33,706301.1669,829232.0704,0.911477763
34,174281.271,435827.7091,0.340722008
35,604111.6488,581535.9746,0.389824636
36,1598046.985,145021.7201,0.426823842
37,140362.8582,864720.0646,0.856619213
38,1179630.995,538857.1302,0.980506309
39,402715.3433,993795.8557,0.606983053
40,422443.9256,781726.8767,0.441509656
41,129159.1991,743306.8791,0.992595655
42,508516.5953,967154.3369,0.998050405
43,244644.7592,460736.2872,0.770348709
44,140959.3043,652838.1444,0.978128013
45,381069.8561,371189.9746,0.999980154
46,888582.59,475217.0264,0.873365473
47,517251.6017,628542.5225,0.997883026
48,844279.0648,113780.7622,0.951678799
49,821553.0263,227583.8137,0.817754191
50,922248.5034,233376.6499,0.999999052
51,975346.151,746145.533,0.993351657
52,-54410.99437,953087.6815,0.999664823
53,569175.7617,585771.3457,0.943339822
54,492357.8123,586262.929,0.806344739
55,-57726.38937,136677.0214,0.467807157
56,141102.6003,549435.1479,0.90254867
57,1050234.566,998663.0043,0.992042006
58,1019134.786,120863.8891,0.99953144
59,422062.7609,345845.0116,0.994836213
60,380709.1811,185679.6024,0.986974575
61,769021.9667,901832.7043,0.22311131
62,565413.1092,466268.9766,0.942914303
63,34286.84374,415633.8796,0.826962455
64,522294.1817,989391.0149,0.999426058
65,830029.3666,269275.2886,0.93467022
66,583848.6531,514619.8195,0.726483769
67,330857.0989,518982.3491,0.984851854
68,683825.5159,245009.1205,0.916277692
69,755193.7888,122278.8512,0.387088186
70,213223.6241,885307.6124,0.831345199
71,923383.9679,567782.0609,0.998928912
72,257704.9792,893458.5407,0.789188199
73,294427.7851,791420.9308,0.807602784
74,-78027.39993,234565.6635,0.951059857
75,1137546.693,483912.4356,0.980821525
76,1553804.667,315698.991,0.994544224
77,235233.1445,904069.2576,0.851350645
78,446987.564,535080.0344,0.737313204
79,715860.9851,506555.7709,0.979593429
80,521720.0067,352463.6888,0.774541283
81,-407553.9512,529347.5054,0.832542749
82,1054869.752,187360.2219,1
83,462568.074,729845.8616,0.910544382
84,526106.0291,315148.2061,0.851834095
85,507544.1758,811776.4216,0.838715851
86,513293.9448,686217.6124,0.996735416
87,838208.7777,310131.017,0.998526689
88,741697.7966,775118.1618,0.997950405
89,381155.3703,122173.0847,0.993621207
90,381794.3241,961060.3513,0.972983908
91,387460.8959,971127.6148,0.912160542
92,597939.6504,327821.3159,0.795696724
93,-208379.2879,470361.8119,0.999992834
94,157926.9155,680857.3748,0.967070137
95,161413.7246,863743.7341,0.738364295
96,651459.4014,680841.7396,0.893759792
97,383406.404,300003.9508,0.681404071
98,30921.34748,143946.008,0.968882602
99,199145.5921,529660.6816,0.856791758
100,189343.5162,497810.1136,0.795577831
101,506109.217,715413.7287,0.960524236
102,981910.3335,344799.6998,0.948903428
103,475956.627,947717.0733,0.926651953
104,794668.1425,331499.6439,0.952168704
105,161815.8032,515955.6032,0.999842288
106,-189400.4823,810685.7447,0.947100614
107,683677.5072,444593.8888,0.999997529
108,591333.8484,376903.4811,0.774871133
109,848755.3856,160543.0243,0.998326171
110,263849.0462,581768.707,0.737547557
111,240853.6288,108285.07,0.999998523
